latlong,postal_code,postal_sector,postal_district,general_location
"1.3547255,103.8736378",552208,55,19,"Serangoon Garden, Hougang, Punggol"
"1.395308,103.8887",541327,54,19,"Serangoon Garden, Hougang, Punggol"
"1.379701,103.742999",680283,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.374106,103.890695",530524,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3830939,103.8696417",809116,80,28,Seletar
"1.3257337,103.9129996",417476,41,14,"Geylang, Eunos"
"1.387127,103.905728",544122,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3606767,103.7629625",669126,66,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.315883,103.898905",420002,42,15,"Katong, Joo Chiat, Amber Road"
"1.300749,103.881894",436593,43,15,"Katong, Joo Chiat, Amber Road"
"1.448163,103.799169",730774,73,25,"Kranji, Woodgrove"
"1.38875,103.89858",544224,54,19,"Serangoon Garden, Hougang, Punggol"
"1.323153,103.9036239",400014,40,14,"Geylang, Eunos"
"1.3213954,103.9560475",486614,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.367823,103.855993",560449,56,20,"Bishan, Ang Mo Kio"
"1.365527,103.844077",561308,56,20,"Bishan, Ang Mo Kio"
"1.387616,103.906267",543122,54,19,"Serangoon Garden, Hougang, Punggol"
"1.381947,103.891449",544998,54,19,"Serangoon Garden, Hougang, Punggol"
"1.415383,103.835925",760874,76,27,"Yishun, Sembawang"
"1.31379,103.888739",398106,39,14,"Geylang, Eunos"
"1.336657,103.697794",642652,64,22,Jurong
"1.370375,103.885163",530610,53,19,"Serangoon Garden, Hougang, Punggol"
"1.363867,103.959192",510140,51,18,"Tampines, Pasir Ris"
"1.396608,103.910899",822174,82,19,"Serangoon Garden, Hougang, Punggol"
"1.367508,103.958001",510102,51,18,"Tampines, Pasir Ris"
"1.420251,103.841112",760664,76,27,"Yishun, Sembawang"
"1.297905,103.799739",140025,14,3,"Queenstown, Tiong Bahru"
"1.308567,103.887961",390099,39,14,"Geylang, Eunos"
"1.352884,103.868717",550243,55,19,"Serangoon Garden, Hougang, Punggol"
"1.373267,103.856354",560545,56,20,"Bishan, Ang Mo Kio"
"1.340656,103.687116",640918,64,22,Jurong
"1.35876,103.937685",520710,52,18,"Tampines, Pasir Ris"
"1.3206379,103.8330878",308839,30,11,"Watten Estate, Novena, Thomson"
"1.3564273,103.8492537",570216,57,20,"Bishan, Ang Mo Kio"
"1.310716,103.882551",399733,39,14,"Geylang, Eunos"
"1.304039,103.847222",228085,22,9,"Orchard, Cairnhill, River Valley"
"1.438156,103.792651",732890,73,25,"Kranji, Woodgrove"
"1.315307,103.830713",259790,25,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3054919,103.853949",208136,20,8,Little India
"1.361578,103.889828",534007,53,19,"Serangoon Garden, Hougang, Punggol"
"1.444397,103.795939",730741,73,25,"Kranji, Woodgrove"
"1.363089,103.893071",530002,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3246153,103.8879434",370072,37,13,"Macpherson, Braddell"
"1.286631,103.817038",151020,15,3,"Queenstown, Tiong Bahru"
"1.3217872,103.8540529",320098,32,12,"Balestier, Toa Payoh, Serangoon"
"1.350262,103.712159",640216,64,22,Jurong
"1.387966,103.867563",809510,80,28,Seletar
"1.427632,103.8340275",760751,76,27,"Yishun, Sembawang"
"1.313785,103.9147",425766,42,15,"Katong, Joo Chiat, Amber Road"
"1.313618,103.914684",425767,42,15,"Katong, Joo Chiat, Amber Road"
"1.4399441,103.7891539",730827,73,25,"Kranji, Woodgrove"
"1.384736,103.877696",798612,79,28,Seletar
"1.38425,103.868244",807349,80,28,Seletar
"1.431632,103.841751",760314,76,27,"Yishun, Sembawang"
"1.346482,103.732575",600316,60,22,Jurong
"1.322632,103.870598",330073,33,12,"Balestier, Toa Payoh, Serangoon"
"1.3644563,103.8701237",556840,55,19,"Serangoon Garden, Hougang, Punggol"
"1.379503,103.893866",530444,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3596003,103.8896132",538198,53,19,"Serangoon Garden, Hougang, Punggol"
"1.431827,103.78518",730353,73,25,"Kranji, Woodgrove"
"1.325215,103.853648",328824,32,12,"Balestier, Toa Payoh, Serangoon"
"1.3683421,103.8468411",560324,56,20,"Bishan, Ang Mo Kio"
"1.306847,103.76215",120706,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.37515,103.943603",510513,51,18,"Tampines, Pasir Ris"
"1.360708,103.8300388",575045,57,20,"Bishan, Ang Mo Kio"
"1.41704,103.848175",768116,76,27,"Yishun, Sembawang"
"1.31344,103.925203",457611,45,15,"Katong, Joo Chiat, Amber Road"
"1.3964571,103.8813305",793472,79,28,Seletar
"1.3797022,103.9448275",518585,51,18,"Tampines, Pasir Ris"
"1.314726,103.80381",267953,26,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.358173,103.884463",530203,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3279766,103.9379417",460127,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3676467,103.8985759",530325,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3180708,103.9162044",456010,45,15,"Katong, Joo Chiat, Amber Road"
"1.3282501,103.8540149",320105,32,12,"Balestier, Toa Payoh, Serangoon"
"1.334936,103.914922",470628,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.307289,103.905062",423728,42,15,"Katong, Joo Chiat, Amber Road"
"1.43002,103.83367",760743,76,27,"Yishun, Sembawang"
"1.3389039,103.7026937",644664,64,22,Jurong
"1.346532,103.862191",359641,35,13,"Macpherson, Braddell"
"1.461505,103.813511",757695,75,27,"Yishun, Sembawang"
"1.365686,103.840259",560220,56,20,"Bishan, Ang Mo Kio"
"1.294827,103.83996",238309,23,9,"Orchard, Cairnhill, River Valley"
"1.3054965,103.9139404",440055,44,15,"Katong, Joo Chiat, Amber Road"
"1.328645,103.84809",329980,32,12,"Balestier, Toa Payoh, Serangoon"
"1.3459614,103.8737602",537979,53,19,"Serangoon Garden, Hougang, Punggol"
"1.362864,103.962568",510151,51,18,"Tampines, Pasir Ris"
"1.3525392,103.8357847",575583,57,20,"Bishan, Ang Mo Kio"
"1.41596,103.83677",760852,76,27,"Yishun, Sembawang"
"1.354608,103.953116",520215,52,18,"Tampines, Pasir Ris"
"1.443566,103.807588",734688,73,25,"Kranji, Woodgrove"
"1.377157,103.891944",530542,53,19,"Serangoon Garden, Hougang, Punggol"
"1.376582,103.767582",670142,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.360326,103.954541",520469,52,18,"Tampines, Pasir Ris"
"1.4406998,103.7765983",732002,73,25,"Kranji, Woodgrove"
"1.3203069,103.946095",460165,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.384693,103.836679",789361,78,26,"Upper Thomson, Springleaf"
"1.325247,103.934861",461221,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3479061,103.8790304",536386,53,19,"Serangoon Garden, Hougang, Punggol"
"1.376095,103.774913",670277,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.36558,103.878084",549852,54,19,"Serangoon Garden, Hougang, Punggol"
"1.391559,103.905399",540149,54,19,"Serangoon Garden, Hougang, Punggol"
"1.350003,103.945943",521161,52,18,"Tampines, Pasir Ris"
"1.3111091,103.8783904",398999,39,14,"Geylang, Eunos"
"1.390704,103.742981",680517,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3612426,103.8773466",549361,54,19,"Serangoon Garden, Hougang, Punggol"
"1.346344,103.940079",520928,52,18,"Tampines, Pasir Ris"
"1.316941,103.787178",277950,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3616051,103.8519441",560332,56,20,"Bishan, Ang Mo Kio"
"1.3469722,103.9364413",520813,52,18,"Tampines, Pasir Ris"
"1.377733,103.879887",530973,53,19,"Serangoon Garden, Hougang, Punggol"
